"","ID","dataset_id","country","site","longitude","latitude","on_farm","variety","nut_response_eval","yield","N_fertilizer","N_splits","P_fertilizer","K_fertilizer","year","planting_date","harvest_date","dif","source","N100","P100","K100","blup_NGA","Ywp","N_base_supply","P_base_supply","K_base_supply","pyear","totalRF"
"64","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",3651,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"65","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2687,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"66","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",3243,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"67","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",190,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"68","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1936,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"69","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1748,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"70","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",2112,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"71","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",1144,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"72","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2193,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"73","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2312,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"74","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",2425,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"75","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",3265,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"76","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",3671,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"77","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2637,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"78","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",3584,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"79","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",1834,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"80","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1484,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"81","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1310,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
